,date,country,site,siteNo,depth,ind,fertile,frondMass,primaryLength,primaryWidth,frondLength,stipeMass,stipeLength,stipeCirc,tufts,epiLength,totalLength
RPP,2015/03/25,South Africa,Miller's Point,6,6,1,NA,2.25,17,11,170,5.25,531,17,10,380,701
RPP,2015/03/25,South Africa,Miller's Point,6,6,2,NA,1.6,12,7.5,126,5.25,482,14,7,359,608
RPP,2015/03/25,South Africa,Miller's Point,6,6,3,NA,1.75,15,9,137,5,455,15,8,258,592
RPP,2015/03/25,South Africa,Miller's Point,6,6,4,NA,1.3,25,13,144,5.25,509,20,10,387,653
RPP,2015/03/25,South Africa,Miller's Point,6,6,5,NA,2.75,22,21,144,5,574,30,8,500,718
RPP,2015/03/25,South Africa,Miller's Point,6,6,6,NA,1.3,17,8,160,4.25,439,15,8,NA,599
RPP,2015/03/25,South Africa,Miller's Point,6,6,7,NA,5.2,25,22,192,7.25,493,25,9,391,685
RPP,2015/03/25,South Africa,Miller's Point,6,6,8,NA,2.25,19,10,174,4,386,17,9,65,560
RPP,2015/03/25,South Africa,Miller's Point,6,6,9,NA,2.75,14,10,196,5.7,549,18,8,202,745
RPP,2015/03/25,South Africa,Miller's Point,6,6,10,NA,2.5,NA,16,173,6.2,480,22,NA,420,653
RPP,2015/03/25,South Africa,Miller's Point,6,6,11,NA,2.25,19,13,200,6,523,18,NA,292,723
RPP,2015/03/25,South Africa,Baboon Rock,7,5.5,1,NA,6.51,26,16,190,6.5,494,27,10,380,684
RPP,2015/03/25,South Africa,Baboon Rock,7,5.5,2,NA,1.6,17,16,155,5.75,429,21,8,372,584
RPP,2015/03/25,South Africa,Baboon Rock,7,5.5,3,NA,2.75,19,12,147,6.5,455,17.5,11,NA,602
RPP,2015/03/25,South Africa,Baboon Rock,7,5.5,4,NA,0.25,13,6,66,3.5,375,13,7,249,441
RPP,2015/03/25,South Africa,Baboon Rock,7,5.5,5,NA,7.5,16,17,228,6.25,645,19,8,639,873
RPP,2015/03/25,South Africa,Baboon Rock,7,5.5,6,NA,4.75,22,12,192,5,557,26,8,442,749
RPP,2015/03/25,South Africa,Baboon Rock,7,5.5,7,NA,3,21,15,144,5.75,448,21,9,367,592
RPP,2015/03/25,South Africa,Baboon Rock,7,5.5,8,NA,3.5,23,13,180,6,501,21,10,404,681
RPP,2015/03/25,South Africa,Baboon Rock,7,5.5,9,NA,2.25,15.5,7,130,4.78,416,15,7,319,546
RPP,2015/03/25,South Africa,Baboon Rock,7,5.5,10,NA,3,20,12,151,5.75,457,18,9,328,608
RPP,2015/03/25,South Africa,Baboon Rock,7,5.5,11,NA,3.5,17,10.5,160,6.25,460,19,6,359,620
AJS,2015/03/31,South Africa,Betty's Bay,8,8,1,NA,6.25,17,24,239,7.6,715,30,12,410,954
AJS,2015/03/31,South Africa,Betty's Bay,8,8,2,NA,4.3,19,11,238,7.6,752,23,8,430,990
AJS,2015/03/31,South Africa,Betty's Bay,8,8,3,NA,5.75,21,12,205,8.55,735,27,8,512,940
AJS,2015/03/31,South Africa,Betty's Bay,8,8,4,NA,3,15,10,203,6.75,680,19,11,315,883
AJS,2015/03/31,South Africa,Betty's Bay,8,8,5,NA,1.8,13,8,225,6,680,15,9,455,905
AJS,2015/03/31,South Africa,Betty's Bay,8,8,6,NA,4.125,20,15,175,7,788,28,9,495,963
