site;date;phase;stipe_length;stipe_circ;primary_length;primary_width;holdfast;cluster
Oilifantsbos;06/06/2017;before;534;35;27;28;N;N
Oilifantsbos;06/06/2017;before;263;26;19;17;N;N
Oilifantsbos;06/06/2017;before;510;44;20;23;N;N
Oilifantsbos;06/06/2017;before;280;39;16;17;Y;Y
Oilifantsbos;06/06/2017;before;267;32;21;17.5;Y;Y
Oilifantsbos;06/06/2017;before;310;28;21;16;N;N
Oilifantsbos;06/06/2017;before;145;8;22;3.5;Y;Y
Oilifantsbos;06/06/2017;before;375;25;17;10;Y;Y
Oilifantsbos;06/06/2017;before;418;25;22;10;N;N
Oilifantsbos;06/06/2017;before;190;25;15;9;Y;Y
Oilifantsbos;06/06/2017;before;264;17;16;10;N;N
Oilifantsbos;06/06/2017;before;540;26;22;12;Y;N
Oilifantsbos;06/06/2017;before;68;9;22;7;Y;Y
Oilifantsbos;06/06/2017;before;250;24;20;12;Y;Y
Oilifantsbos;06/06/2017;before;385;23;20;12;Y;Y
Oilifantsbos;06/06/2017;before;560;37;27;14;N;N
Oilifantsbos;06/06/2017;before;250;35;18;25;N;N
Oilifantsbos;06/06/2017;before;183;26;15;14;Y;Y
Oilifantsbos;06/06/2017;before;220;23;34;17;Y;Y
Oilifantsbos;06/06/2017;before;310;25;19;10;Y;Y
Oilifantsbos;06/06/2017;before;300;16;22;7;N;N
Oilifantsbos;06/06/2017;before;362;29;18;18;N;N
Oilifantsbos;06/06/2017;before;260;13;18;5;Y;Y
Oilifantsbos;06/06/2017;before;170;15;13;6;Y;Y
Oilifantsbos;06/06/2017;before;162;13;12;4;Y;Y
Oilifantsbos;06/06/2017;before;181;13;14;5;Y;Y
Oilifantsbos;06/06/2017;before;190;12;13;3;Y;Y
Oilifantsbos;06/06/2017;before;175;12;14;3;Y;Y
Oilifantsbos;06/06/2017;before;180;14;12;5;Y;Y
Oilifantsbos;06/06/2017;before;415;39;20;22;Y;Y
Oilifantsbos;06/06/2017;before;370;130;22;19;Y;Y
Oilifantsbos;06/06/2017;before;193;17;20;7;N;N
Oilifantsbos;06/06/2017;before;221;17;17;6;N;N
Oilifantsbos;06/06/2017;before;272;26;20;13;Y;N
Oilifantsbos;06/06/2017;before;80;20;12;7;N;N
Oilifantsbos;06/06/2017;before;170;22;16;7;Y;Y
Oilifantsbos;06/06/2017;before;172;24;16;9;Y;Y
Oilifantsbos;06/06/2017;before;164;18;17;6;Y;Y
Oilifantsbos;06/06/2017;before;218;25;21;9;N;N
Oilifantsbos;06/06/2017;before;229;8;12;4;N;N
Oilifantsbos;06/06/2017;before;98;28;15;12;N;N
Oilifantsbos;06/06/2017;before;650;22;14;11;N;N
Oilifantsbos;06/06/2017;before;220;30;21;13;N;N
Oilifantsbos;06/06/2017;before;160;20;10;5;Y;Y
Oilifantsbos;06/06/2017;before;155;18;10;6;Y;Y
Oilifantsbos;06/06/2017;before;152;98;12;8;Y;Y
Oilifantsbos;06/06/2017;before;154;16;10;5;Y;Y
Oilifantsbos;06/06/2017;before;161;17;10;4;Y;Y
Oilifantsbos;06/06/2017;before;227;6;11;4;N;N
Oilifantsbos;09/09/2017;after;875;32;20;29;N;N
Oilifantsbos;09/09/2017;after;880;22;14;14;Y;Y
Oilifantsbos;09/09/2017;after;520;24;13;9;N;N
Oilifantsbos;09/09/2017;after;620;22;22;10;N;N
Oilifantsbos;09/09/2017;after;1005;33;15;17;Y;N
Oilifantsbos;09/09/2017;after;375;14;16;6;N;N
Oilifantsbos;09/09/2017;after;220;26;21;12;N;N
Oilifantsbos;09/09/2017;after;500;23;33;13;N;N
Oilifantsbos;09/09/2017;after;300;26;13;14;N;N
Oilifantsbos;09/09/2017;after;500;19;9;10;N;N
Oilifantsbos;09/09/2017;after;635;27;19;13;Y;N
Oilifantsbos;09/09/2017;after;524;20;22;11;Y;N
Oilifantsbos;09/09/2017;after;750;20;21;14;Y;N
Oilifantsbos;09/09/2017;after;812;23;13;10;N;N
Oilifantsbos;09/09/2017;after;375;46;34;27;N;N
Oilifantsbos;09/09/2017;after;150;8;50;4;Y;N
Oilifantsbos;09/09/2017;after;148;8;46;4;Y;Y
Oilifantsbos;09/09/2017;after;875;22;22;9;N;N
Oilifantsbos;09/09/2017;after;360;9;28;5;Y;N
Oilifantsbos;09/09/2017;after;520;33;23;14;Y;N
Oilifantsbos;09/09/2017;after;525;28;20;12;N;N
Oilifantsbos;09/09/2017;after;280;34;28;40;N;N
Oilifantsbos;09/09/2017;after;542;27;21;13;Y;N
Oilifantsbos;09/09/2017;after;500;24;18;12;N;N
Oilifantsbos;09/09/2017;after;876;20;22;16;N;N
Oilifantsbos;09/09/2017;after;665;38;19;17;Y;N
Oilifantsbos;09/09/2017;after;425;26;18;16;Y;N
Oilifantsbos;09/09/2017;after;785;50;16;32;Y;N
Oilifantsbos;09/09/2017;after;400;32;21;13;N;N
Oilifantsbos;09/09/2017;after;183;8;16;3;N;N
Oilifantsbos;09/09/2017;after;390;27;24;12;N;N
Oilifantsbos;09/09/2017;after;650;44;36;28;N;N
Oilifantsbos;09/09/2017;after;790;23;22;14;Y;N
Oilifantsbos;09/09/2017;after;455;35;35;21;N;N
Oilifantsbos;09/09/2017;after;132;6;28;3;Y;N
Oilifantsbos;09/09/2017;after;600;37;26;17;Y;Y
Oilifantsbos;09/09/2017;after;625;31;16;15;Y;Y
Oilifantsbos;09/09/2017;after;375;29;22;22;N;N
Oilifantsbos;09/09/2017;after;750;39;21;19;N;N
Oilifantsbos;09/09/2017;after;860;36;22;19;Y;N
Oilifantsbos;09/09/2017;after;640;31;24;37;Y;N
Oilifantsbos;09/09/2017;after;875;15;19;19;Y;Y
Oilifantsbos;09/09/2017;after;870;13;17;7;Y;Y
Oilifantsbos;09/09/2017;after;872;13;16;7;Y;Y
Oilifantsbos;09/09/2017;after;375;24;18;15;N;N
Oilifantsbos;09/09/2017;after;250;34;34;24;N;N
Oilifantsbos;09/09/2017;after;300;8;13;3;N;N
Oilifantsbos;09/09/2017;after;146;7;51;2;N;N
Oilifantsbos;09/09/2017;after;610;11;21;7;Y;N
Oilifantsbos;09/09/2017;after;292;35;26;29;N;N
Platboom;06/06/2017;before;42;7;22;17;Y;N
Platboom;06/06/2017;before;553;13;15;8;N;N
Platboom;06/06/2017;before;160;16;14;8;Y;Y
Platboom;06/06/2017;before;214;15;15;7;Y;Y
Platboom;06/06/2017;before;160;20;15;12;Y;Y
Platboom;06/06/2017;before;110;17;11;7.5;Y;Y
Platboom;06/06/2017;before;88;19;84;18;Y;Y
Platboom;06/06/2017;before;620;29;20;18;N;N
Platboom;06/06/2017;before;230;17;13;6;Y;N
Platboom;06/06/2017;before;210;13;10;4.6;Y;Y
Platboom;06/06/2017;before;71;6;11;4;Y;Y
Platboom;06/06/2017;before;204;27;12;14.5;N;N
Platboom;06/06/2017;before;712;29;24;20;N;N
Platboom;06/06/2017;before;428;34;16;10;N;N
Platboom;06/06/2017;before;230;25;15;12;Y;Y
Platboom;06/06/2017;before;66;6;9;3;Y;Y
Platboom;06/06/2017;before;65;19;10;5;Y;Y
Platboom;06/06/2017;before;190;18;15;8;Y;Y
Platboom;06/06/2017;before;200;18;19;12;N;N
Platboom;06/06/2017;before;186;22;20;23;Y;Y
Platboom;06/06/2017;before;194;24;18;13.5;Y;Y
Platboom;06/06/2017;before;176;17;12;7;N;N
Platboom;06/06/2017;before;173;33;12;16;N;N
Platboom;06/06/2017;before;350;40;36;18;N;N
Platboom;06/06/2017;before;710;32;23;17;Y;N
Platboom;06/06/2017;before;165;22;12;16;N;N
Platboom;06/06/2017;before;241;11;8;5;N;N
Platboom;06/06/2017;before;165;15;13;4;N;N
Platboom;06/06/2017;before;245;20;19;10;N;N
Platboom;06/06/2017;before;310;22;13;8;Y;Y
Platboom;06/06/2017;before;246;22;14;7;Y;Y
Platboom;06/06/2017;before;393;20;12;18;N;N
Platboom;06/06/2017;before;87;11;13;3;Y;N
Platboom;06/06/2017;before;250;23;19;16;N;N
Platboom;06/06/2017;before;143;52;12;10;Y;Y
Platboom;06/06/2017;before;129;23;14;13;Y;Y
Platboom;06/06/2017;before;750;21;12;7;Y;Y
Platboom;06/06/2017;before;260;29;18;15;N;N
Platboom;06/06/2017;before;185;7;10;4;N;N
Platboom;09/09/2017;after;570;21;14;7;N;N
Platboom;09/09/2017;after;620;15;17;6;Y;N
Platboom;09/09/2017;after;160;32;16;20;N;N
Platboom;09/09/2017;after;625;21;14;4;Y;Y
Platboom;09/09/2017;after;54;6;28;3;Y;Y
Platboom;09/09/2017;after;550;20;18;7;Y;Y
Platboom;09/09/2017;after;555;7;17;3;Y;N
Platboom;09/09/2017;after;888;13;14;6;N;N
Platboom;09/09/2017;after;240;9;15;14;Y;N
Platboom;09/09/2017;after;375;9;16;4;Y;N
Platboom;09/09/2017;after;93;9;28;7;Y;N
Platboom;09/09/2017;after;160;29;16;13;N;N
Platboom;09/09/2017;after;1125;11;15;5;N;N
Platboom;09/09/2017;after;300;28;28;25;N;N
Platboom;09/09/2017;after;250;26;26;24;N;N
Platboom;09/09/2017;after;500;11;17;4;N;N
Platboom;09/09/2017;after;380;27;19;10;N;N
Platboom;09/09/2017;after;505;28;16;9;N;N
Platboom;09/09/2017;after;136;19;13;8;Y;Y
Platboom;09/09/2017;after;130;18;13;7;Y;Y
Platboom;09/09/2017;after;142;17;14;6;Y;Y
Platboom;09/09/2017;after;135;18;14;8;Y;Y
Platboom;09/09/2017;after;94;7;61;6;Y;N
Platboom;09/09/2017;after;770;20;15;11;Y;N
Platboom;09/09/2017;after;280;22;17;7;Y;N
Platboom;09/09/2017;after;725;18;19;12;Y;N
